name,address,ward,localAuthority,lon,lat
Ladbrokes,13A Yorkshire Street OL1 3RZ,St Mary's,Oldham,-2.1109332,53.5422259
Whitehouse Bookmakers,300 Lees Road OL4 1NZ,St Mary's,Oldham,-2.0890317,53.5400443
Coral Racing Ltd,"11 Beal Lane, Shaw OL2 8UY",Shaw,Oldham,-2.0915982,53.5772956
Coral Racing Ltd,"86/88 Market Street, Shaw OL2 8NP",Shaw,Oldham,-2.0944144,53.5755343
William Hill,12 Market Street OL2 8NH,Shaw,Oldham,-2.0936391,53.5775045
Lewis Bookmakers,148 Huddersfield Road OL4 2RD,Waterhead,Oldham,-2.0889508,53.5473009
Coral Racing Ltd,461 Huddersfield Road OL4 2HT,Waterhead,Oldham,-2.0769436,53.549572
Ladbrokes,"2 The Strand, Kirkholt OL11 2JG",Balderstone and Kirkholt,Rochdale,-2.156443,53.5940025
Betfred,820-822 Manchester Road OL11 3AW,Castleton,Rochdale,-2.179992,53.5924025
Betfred,61-63 Halifax Road OL12 9BA,Central Rochdale,Rochdale,-2.1430536,53.6254758
William Hill,162 Whitworth Road OL12 0JG,Central Rochdale,Rochdale,-2.155972,53.6258458
William Hill,83 Whitworth Road OL12 0RD,Central Rochdale,Rochdale,-2.1560661,53.6247841
William Hill,"446/448 Oldham Road, Middleton M24 2FA",East Middleton,Rochdale,-2.1771672,53.5510239
Ladbrokes,"Unit 4, Amenity Building, Birch Motorway Service Station, Eastbound M62 OL10 2QH",Hopwood Hall,Rochdale,-2.2329082,53.5684756
Betfred,"Unit 2 Mayfiled Public House, Albert Royds Street OL16 2UE",Kingsway,Rochdale,-2.134339,53.623562
William Hill,409-411 Oldham Road OL16 4SZ,Kingsway,Rochdale,-2.1460765,53.6034493
Ladbrokes,29 Church Street OL15 8DA,Littleborough Lakeside,Rochdale,-2.094704,53.643767
William Hill,50 Church Street OL15 8AU,Littleborough Lakeside,Rochdale,-2.0966078,53.6440035
Paddy Power,15 Yorkshire Street OL16 1BH,Milkstone and Deeplish,Rochdale,-2.158605,53.617293
Betfred,7 Yorkshire Street OL16 1BH,Milkstone and Deeplish,Rochdale,-2.1584418,53.6170715
Ladbrokes,13 The Butts OL16 1ES,Milkstone and Deeplish,Rochdale,-2.1576655,53.6173396
