OBJECTID,ListEntry,Name,Grade,ListDate,AmendDate,CaptureScale,hyperlink,NGR,Easting,Northing,area_code,area_name
78337,1100305,War Memorial At Junction With Broomfield Lane,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1100305,SJ 77417 87076,377417,387076.36084392,E08000009,Trafford
78341,1100309,The Old Farm,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1100309,SJ 78332 86496,378332,386496.36084392,E08000009,Trafford
78360,1100328,Tiverton,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1100328,SJ 78353 86754,378353,386754.36084392,E08000009,Trafford
78380,1100348,"Lychgate, Hale Chapel",II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1100348,SJ 79161 85451,379161,385451.36084392,E08000009,Trafford
79500,1101478,"Saint Martin's School
The Old School House",II,1976-05-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1101478,SJ 77402 92492,377402,392492.36084391,E08000009,Trafford
79542,1101520,"Lychgate, Church Of Saint Martin",II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1101520,SJ 77266 92976,377266,392976.36084392,E08000009,Trafford
79559,1101537,Ashton New Hall,II,1966-11-11T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1101537,SJ 77260 92919,377260,392919.36084392,E08000009,Trafford
79578,1101556,Marsh Farm,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1101556,SJ7709192591,377090.935102463,392590.816549301,E08000009,Trafford
79745,1101723,Barn To South East Of Birch Farmhouse,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1101723,SJ 72078 90260,372078,390260.36084391,E08000009,Trafford
79780,1101758,Post Office House,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1101758,SJ 70953 89304,370953,389304.36084392,E08000009,Trafford
79783,1101761,Former Lloyds Bank At Junction With Tatton Road,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1101761,SJ 78804 92073,378804,392073.36084392,E08000009,Trafford
79787,1101765,Church Of Saint Paul,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1101765,SJ 78691 91804,378691,391804.36084391,E08000009,Trafford
79822,1101800,Trinity House,II,1978-02-07T00:00:00Z,1985-07-12T00:00:00Z,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1101800,SJ 79683 91581,379683,391581.36084392,E08000009,Trafford
85835,1107845,Church Of St Alban,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1107845,SJ 76700 89572,376700,389572.36084391,E08000009,Trafford
85843,1107853,Former Lloyds Bank (Broadheath Branch) And Post Office,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1107853,SJ 76651 89187,376650.532,389186.99684392,E08000009,Trafford
85852,1107862,"Numbers 2, 4, 6 And Right 3 Bays Of 8",II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1107862,SJ7680288032,376802.113302231,388032.388002396,E08000009,Trafford
85927,1107939,Nursery Cottage,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1107939,SJ 75507 87588,375507,387588.36084391,E08000009,Trafford
88820,1110847,Dog Farmhouse,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1110847,SJ 73981 87622,373981,387622.36084391,E08000009,Trafford
97479,1119585,"14 And 16, Market Street",II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1119585,SJ7673188000,376731.036401749,388000.151151657,E08000009,Trafford
