area_code,area_name,geography,period,indicator,accommodation_type,measure,unit,value
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1363
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,1663
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,663
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,109
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,23
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,63
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,0
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,1213
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,844
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,577
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,1050
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,205
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,118
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,82
