period,area_code,area_name,geography,sex,age_group,usual_residents
1981-04-05,E08000002,Bury,Local authority,Males,Aged 45 to 49 years,4900
1981-04-05,E08000002,Bury,Local authority,Males,Aged 50 to 54 years,4659
1981-04-05,E08000002,Bury,Local authority,Males,Aged 55 to 59 years,4841
1981-04-05,E08000002,Bury,Local authority,Males,Aged 60 to 64 years,3897
1981-04-05,E08000002,Bury,Local authority,Males,Aged 65 to 69 years,3713
1981-04-05,E08000002,Bury,Local authority,Males,Aged 70 to 74 years,3069
1981-04-05,E08000002,Bury,Local authority,Males,Aged 75 to 79 years,1800
1981-04-05,E08000002,Bury,Local authority,Males,Aged 80 to 84 years,808
1981-04-05,E08000002,Bury,Local authority,Males,Aged 85 years and over,308
1981-04-05,E08000002,Bury,Local authority,Persons,All ages,175452
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 4 years and under,10848
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 5 to 9 years,12250
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 10 to 14 years,14611
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 15 to 19 years,14441
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 20 to 24 years,11767
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 25 to 29 years,11697
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 30 to 34 years,14320
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 35 to 39 years,11789
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 40 to 44 years,10621
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 45 to 49 years,9704
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 50 to 54 years,9392
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 55 to 59 years,9931
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 60 to 64 years,8299
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 65 to 69 years,8530
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 70 to 74 years,7539
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 75 to 79 years,5058
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 80 to 84 years,2992
1981-04-05,E08000002,Bury,Local authority,Persons,Aged 85 years and over,1670
1991-04-21,E08000002,Bury,Local authority,Females,All ages,91241
1991-04-21,E08000002,Bury,Local authority,Females,Aged 4 years and under,5929
1991-04-21,E08000002,Bury,Local authority,Females,Aged 5 to 9 years,5582
1991-04-21,E08000002,Bury,Local authority,Females,Aged 10 to 14 years,5281
1991-04-21,E08000002,Bury,Local authority,Females,Aged 15 to 19 years,5726
1991-04-21,E08000002,Bury,Local authority,Females,Aged 20 to 24 years,6287
1991-04-21,E08000002,Bury,Local authority,Females,Aged 25 to 29 years,7315
1991-04-21,E08000002,Bury,Local authority,Females,Aged 30 to 34 years,6453
