period,area_code,area_name,geography,sex,age_group,usual_residents
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 60 to 64 years,6300
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 65 to 69 years,5300
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 70 to 74 years,5100
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 75 to 79 years,3400
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 80 to 84 years,2300
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 85 to 89 years,1100
2021-03-21,E08000004,Oldham,Local authority,Males,Aged 90 years and over,500
2021-03-21,E08000004,Oldham,Local authority,Persons,All ages,242100
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 4 years and under,16000
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 5 to 9 years,17400
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 10 to 14 years,18100
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 15 to 19 years,16300
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 20 to 24 years,14100
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 25 to 29 years,15000
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 30 to 34 years,16700
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 35 to 39 years,16200
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 40 to 44 years,15100
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 45 to 49 years,14800
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 50 to 54 years,16100
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 55 to 59 years,15000
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 60 to 64 years,12600
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 65 to 69 years,10800
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 70 to 74 years,10600
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 75 to 79 years,7600
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 80 to 84 years,5300
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 85 to 89 years,2800
2021-03-21,E08000004,Oldham,Local authority,Persons,Aged 90 years and over,1500
2021-03-21,E08000005,Rochdale,Local authority,Females,All ages,114000
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 4 years and under,7100
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 5 to 9 years,7500
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 10 to 14 years,7600
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 15 to 19 years,6500
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 20 to 24 years,6100
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 25 to 29 years,7300
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 30 to 34 years,8500
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 35 to 39 years,8100
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 40 to 44 years,7400
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 45 to 49 years,7000
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 50 to 54 years,7500
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 55 to 59 years,7200
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 60 to 64 years,6400
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 65 to 69 years,5400
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 70 to 74 years,5400
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 75 to 79 years,3800
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 80 to 84 years,2600
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 85 to 89 years,1600
2021-03-21,E08000005,Rochdale,Local authority,Females,Aged 90 years and over,1000
2021-03-21,E08000005,Rochdale,Local authority,Males,All ages,109700
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 4 years and under,7600
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 5 to 9 years,8000
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 10 to 14 years,8100
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 15 to 19 years,7000
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 20 to 24 years,6100
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 25 to 29 years,6800
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 30 to 34 years,7500
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 35 to 39 years,7200
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 40 to 44 years,6800
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 45 to 49 years,7000
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 50 to 54 years,7600
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 55 to 59 years,7200
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 60 to 64 years,6100
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 65 to 69 years,5400
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 70 to 74 years,4900
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 75 to 79 years,3200
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 80 to 84 years,2000
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 85 to 89 years,1000
2021-03-21,E08000005,Rochdale,Local authority,Males,Aged 90 years and over,400
2021-03-21,E08000005,Rochdale,Local authority,Persons,All ages,223800
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 4 years and under,14600
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 5 to 9 years,15500
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 10 to 14 years,15700
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 15 to 19 years,13500
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 20 to 24 years,12200
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 25 to 29 years,14100
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 30 to 34 years,15900
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 35 to 39 years,15300
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 40 to 44 years,14100
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 45 to 49 years,14000
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 50 to 54 years,15100
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 55 to 59 years,14400
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 60 to 64 years,12500
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 65 to 69 years,10900
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 70 to 74 years,10300
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 75 to 79 years,7000
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 80 to 84 years,4600
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 85 to 89 years,2600
2021-03-21,E08000005,Rochdale,Local authority,Persons,Aged 90 years and over,1500
2021-03-21,E08000006,Salford,Local authority,Females,All ages,134400
2021-03-21,E08000006,Salford,Local authority,Females,Aged 4 years and under,8400
2021-03-21,E08000006,Salford,Local authority,Females,Aged 5 to 9 years,8200
2021-03-21,E08000006,Salford,Local authority,Females,Aged 10 to 14 years,7800
2021-03-21,E08000006,Salford,Local authority,Females,Aged 15 to 19 years,7700
2021-03-21,E08000006,Salford,Local authority,Females,Aged 20 to 24 years,11500
2021-03-21,E08000006,Salford,Local authority,Females,Aged 25 to 29 years,13300
2021-03-21,E08000006,Salford,Local authority,Females,Aged 30 to 34 years,11900
2021-03-21,E08000006,Salford,Local authority,Females,Aged 35 to 39 years,9800
2021-03-21,E08000006,Salford,Local authority,Females,Aged 40 to 44 years,8000
2021-03-21,E08000006,Salford,Local authority,Females,Aged 45 to 49 years,7400
2021-03-21,E08000006,Salford,Local authority,Females,Aged 50 to 54 years,7700
2021-03-21,E08000006,Salford,Local authority,Females,Aged 55 to 59 years,7300
2021-03-21,E08000006,Salford,Local authority,Females,Aged 60 to 64 years,6300
2021-03-21,E08000006,Salford,Local authority,Females,Aged 65 to 69 years,4900
2021-03-21,E08000006,Salford,Local authority,Females,Aged 70 to 74 years,5200
2021-03-21,E08000006,Salford,Local authority,Females,Aged 75 to 79 years,3700
2021-03-21,E08000006,Salford,Local authority,Females,Aged 80 to 84 years,2800
2021-03-21,E08000006,Salford,Local authority,Females,Aged 85 to 89 years,1700
2021-03-21,E08000006,Salford,Local authority,Females,Aged 90 years and over,1000
2021-03-21,E08000006,Salford,Local authority,Males,All ages,135500
2021-03-21,E08000006,Salford,Local authority,Males,Aged 4 years and under,8900
2021-03-21,E08000006,Salford,Local authority,Males,Aged 5 to 9 years,8500
2021-03-21,E08000006,Salford,Local authority,Males,Aged 10 to 14 years,8300
2021-03-21,E08000006,Salford,Local authority,Males,Aged 15 to 19 years,7800
2021-03-21,E08000006,Salford,Local authority,Males,Aged 20 to 24 years,11100
2021-03-21,E08000006,Salford,Local authority,Males,Aged 25 to 29 years,13100
2021-03-21,E08000006,Salford,Local authority,Males,Aged 30 to 34 years,12500
2021-03-21,E08000006,Salford,Local authority,Males,Aged 35 to 39 years,10600
2021-03-21,E08000006,Salford,Local authority,Males,Aged 40 to 44 years,8400
2021-03-21,E08000006,Salford,Local authority,Males,Aged 45 to 49 years,7600
2021-03-21,E08000006,Salford,Local authority,Males,Aged 50 to 54 years,7700
2021-03-21,E08000006,Salford,Local authority,Males,Aged 55 to 59 years,7700
2021-03-21,E08000006,Salford,Local authority,Males,Aged 60 to 64 years,6400
2021-03-21,E08000006,Salford,Local authority,Males,Aged 65 to 69 years,4800
2021-03-21,E08000006,Salford,Local authority,Males,Aged 70 to 74 years,4800
2021-03-21,E08000006,Salford,Local authority,Males,Aged 75 to 79 years,3200
2021-03-21,E08000006,Salford,Local authority,Males,Aged 80 to 84 years,2200
2021-03-21,E08000006,Salford,Local authority,Males,Aged 85 to 89 years,1200
2021-03-21,E08000006,Salford,Local authority,Males,Aged 90 years and over,500
2021-03-21,E08000006,Salford,Local authority,Persons,All ages,269900
2021-03-21,E08000006,Salford,Local authority,Persons,Aged 4 years and under,17300
2021-03-21,E08000006,Salford,Local authority,Persons,Aged 5 to 9 years,16700
2021-03-21,E08000006,Salford,Local authority,Persons,Aged 10 to 14 years,16100
2021-03-21,E08000006,Salford,Local authority,Persons,Aged 15 to 19 years,15500
2021-03-21,E08000006,Salford,Local authority,Persons,Aged 20 to 24 years,22700
2021-03-21,E08000006,Salford,Local authority,Persons,Aged 25 to 29 years,26400
2021-03-21,E08000006,Salford,Local authority,Persons,Aged 30 to 34 years,24400
2021-03-21,E08000006,Salford,Local authority,Persons,Aged 35 to 39 years,20500
2021-03-21,E08000006,Salford,Local authority,Persons,Aged 40 to 44 years,16300
