area_code,area_name,geography,period,indicator,measure,unit,sex,age_group,value
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,All ages,127100
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 4 years and under,8620
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 5 to 9 years,9073
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 10 to 14 years,9124
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 15 to 19 years,8798
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 20 to 24 years,7317
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 25 to 29 years,8722
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 30 to 34 years,9807
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 35 to 39 years,9795
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 40 to 44 years,8606
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 45 to 49 years,8167
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 50 to 54 years,9085
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 55 to 59 years,7678
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 60 to 64 years,6271
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 65 to 69 years,5145
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 70 to 74 years,4305
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 75 to 79 years,3616
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 80 to 84 years,1832
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 85 years and over,1139
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,All ages,261035
