area_code,area_name,geography,period,indicator,measure,unit,age,sex,value
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 58 years,Female,1843
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 58 years,Male,1830
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 59 years,All persons,3625
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 59 years,Female,1857
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 59 years,Male,1768
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 60 years,All persons,3477
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 60 years,Female,1697
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 60 years,Male,1780
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 61 years,All persons,3285
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 61 years,Female,1656
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 61 years,Male,1629
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 62 years,All persons,3193
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 62 years,Female,1624
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 62 years,Male,1569
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 63 years,All persons,3176
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 63 years,Female,1553
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 63 years,Male,1623
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 64 years,All persons,3079
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 64 years,Female,1599
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 64 years,Male,1480
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 65 years,All persons,2769
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 65 years,Female,1378
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 65 years,Male,1391
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 66 years,All persons,2839
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 66 years,Female,1485
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 66 years,Male,1354
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 67 years,All persons,2811
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 67 years,Female,1421
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 67 years,Male,1390
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 68 years,All persons,2770
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 68 years,Female,1392
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 68 years,Male,1378
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 69 years,All persons,2682
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 69 years,Female,1340
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 69 years,Male,1342
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 70 years,All persons,2608
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 70 years,Female,1338
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 70 years,Male,1270
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 71 years,All persons,2829
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 71 years,Female,1476
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 71 years,Male,1353
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 72 years,All persons,2723
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 72 years,Female,1386
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 72 years,Male,1337
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 73 years,All persons,3063
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 73 years,Female,1644
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 73 years,Male,1419
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 74 years,All persons,2967
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 74 years,Female,1593
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 74 years,Male,1374
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 75 years,All persons,2139
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 75 years,Female,1128
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 75 years,Male,1011
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 76 years,All persons,2236
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 76 years,Female,1184
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 76 years,Male,1052
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 77 years,All persons,2056
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 77 years,Female,1072
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 77 years,Male,984
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 78 years,All persons,1950
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 78 years,Female,1046
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 78 years,Male,904
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 79 years,All persons,1702
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 79 years,Female,944
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 79 years,Male,758
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 80 years,All persons,1506
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 80 years,Female,834
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 80 years,Male,672
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 81 years,All persons,1484
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 81 years,Female,833
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 81 years,Male,651
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 82 years,All persons,1416
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 82 years,Female,789
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 82 years,Male,627
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 83 years,All persons,1318
