ward_code,ward_name,year,vacant_seats,candidate,party,votes,ballot_papers_issued,spoiled_ballots,electorate,elected,party_gain
E05000824,Bucklow-St Martins,2018,1,CAPUCHO PAULO Rodrigo,Green Party,44,2027,4,7101,FALSE,na
E05000824,Bucklow-St Martins,2018,1,NAPIER Norine Dorothy,UK Independence Party,90,2027,4,7101,FALSE,na
E05000824,Bucklow-St Martins,2018,1,NEW Adele Louise,Labour Party,1427,2027,4,7101,TRUE,FALSE
E05000824,Bucklow-St Martins,2018,1,TURNER Geoffrey,Conservatives Party,424,2027,4,7101,FALSE,na
E05000824,Bucklow-St Martins,2018,1,WRIGHT Simon Andrew,Liberal Democrats,38,2027,4,7101,FALSE,na
E05000825,Clifford,2018,1,CLIFF Pauline Anne,Liberal Democrats,82,3212,8,8183,FALSE,na
E05000825,Clifford,2018,1,FINNEY Alex,Conservative Party,165,3212,8,8183,FALSE,na
E05000825,Clifford,2018,1,MAYO Jess,Green Party,255,3212,8,8183,FALSE,na
E05000825,Clifford,2018,1,TAYLOR Sophie Rachel,Labour Party,2702,3212,8,8183,TRUE,FALSE
E05000826,Davyhulme East,2018,1,CORNES Mike,Conservative Party,1388,3837,2,7758,FALSE,na
E05000826,Davyhulme East,2018,1,DILLON Jayne Elizabeth,Labour Party,2205,3837,2,7758,TRUE,TRUE
E05000826,Davyhulme East,2018,1,REGAN Gary Anthony,UK Independence Party,69,3837,2,7758,FALSE,na
E05000826,Davyhulme East,2018,1,SUTHERLAND Susan,Liberal Democrats,73,3837,2,7758,FALSE,na
E05000826,Davyhulme East,2018,1,TENNANT-SMYTHE Steven Roy,Green Party,100,3837,2,7758,FALSE,na
E05000827,Davyhulme West,2018,1,KIERMAN David Joseph,Liberal Democrats,81,3884,3,7696,FALSE,na
E05000827,Davyhulme West,2018,1,RAIKES Rob,Green Party,71,3884,3,7696,FALSE,na
E05000827,Davyhulme West,2018,1,REGAN Paul,UK Independence Party,96,3884,3,7696,FALSE,na
E05000827,Davyhulme West,2018,1,TURNER Christine,Conservative Party,1403,3884,3,7696,FALSE,na
E05000827,Davyhulme West,2018,1,WHITHAM Graham,Labour Party,2230,3884,3,7696,TRUE,TRUE
E05000828,Flixton,2018,1,BEAUMONT Andrew,UK Independence Party,91,4562,2,8290,FALSE,na
E05000828,Flixton,2018,1,MCLAUGHLIN Christine Bridget Theresa,Green Party,125,4562,2,8290,FALSE,na
E05000828,Flixton,2018,1,SUTHERLAND Norman Ian,Liberal Democrats,84,4562,2,8290,FALSE,na
E05000828,Flixton,2018,1,THOMAS Simon Garfield,Labour Party,2732,4562,2,8290,TRUE,TRUE
E05000828,Flixton,2018,1,WARD Viv,Conservative Party,1528,4562,2,8290,FALSE,na
E05000829,Gorse Hill,2018,1,ACTON David,Labour Party,2039,2799,6,8357,TRUE,FALSE
E05000829,Gorse Hill,2018,1,CARBERRY-POWER Dawn Lee,Liberal Democrats,88,2799,6,8357,FALSE,na
E05000829,Gorse Hill,2018,1,JOHN Lijo,Conservative Party,485,2799,6,8357,FALSE,na
E05000829,Gorse Hill,2018,1,MARTIN Seamus,UK Independence Party,66,2799,6,8357,FALSE,na
E05000829,Gorse Hill,2018,1,RYAN Joe,Green Party,115,2799,6,8357,FALSE,na
E05000830,Hale Barns,2018,1,AKINOLA Akila,Labour Party,477,2900,6,7431,FALSE,na
E05000830,Hale Barns,2018,1,BOYSEN Maggie,Liberal Democrats,258,2900,6,7431,FALSE,na
E05000830,Hale Barns,2018,1,BUTT Dylan,Conservative Party,1932,2900,6,7431,TRUE,FALSE,
E05000830,Hale Barns,2018,1,LEFTWICH Deborah Jean,Green Party,95,2900,6,7431,FALSE,na
E05000830,Hale Barns,2018,1,TAYLOR Sandra,Independent,132,2900,6,7431,FALSE,na
E05000831,Hale Central,2018,1,AXFORD Jill Margaret,Labour Party,809,2999,7,7440,FALSE,na
E05000831,Hale Central,2018,1,FRASS Will,Liberal Democrats,364,2999,7,7440,FALSE,na
E05000831,Hale Central,2018,1,HARRISON Wayne Joseph,The Liberal Party,49,2999,7,7440,FALSE,na
E05000831,Hale Central,2018,1,LEICESTER Stephen Edward,Green Party,166,2999,7,7440,FALSE,na
E05000831,Hale Central,2018,1,MITCHELL Alan Robert,Conservative Party,1604,2999,7,7440,TRUE,FALSE
E05000832,Longford,2018,1,CONCHIE Cathy,Conservative Party,547,3658,8,9128,FALSE,na
E05000832,Longford,2018,1,FRYER Anna Corrina,Liberal Democrats,194,3658,8,9128,FALSE,na
E05000832,Longford,2018,1,JARMAN David Paul,Labour Party,2611,3658,8,9128,TRUE,FALSE
