date,count,rate,wd15cd,wd15nm,lad15cd,lad15nm
2015-02-01,180,2.6,E05000722,Chadderton South,E08000004,Oldham
2015-02-01,530,6.5,E05000723,Coldhurst,E08000004,Oldham
2015-02-01,90,1.5,E05000724,Crompton,E08000004,Oldham
2015-02-01,140,2.1,E05000725,Failsworth East,E08000004,Oldham
2015-02-01,180,2.9,E05000726,Failsworth West,E08000004,Oldham
2015-02-01,255,3.7,E05000727,Hollinwood,E08000004,Oldham
2015-02-01,295,3.4,E05000728,Medlock Vale,E08000004,Oldham
2015-02-01,100,1.7,E05000729,Royton North,E08000004,Oldham
2015-02-01,120,1.8,E05000730,Royton South,E08000004,Oldham
2015-02-01,80,1.3,E05000731,Saddleworth North,E08000004,Oldham
2015-02-01,50,0.8,E05000732,Saddleworth South,E08000004,Oldham
2015-02-01,110,1.6,E05000733,Saddleworth West and Lees,E08000004,Oldham
2015-02-01,220,2.9,E05000734,St James',E08000004,Oldham
2015-02-01,430,4.8,E05000735,St Mary's,E08000004,Oldham
2015-02-01,145,2.3,E05000736,Shaw,E08000004,Oldham
2015-02-01,285,3.6,E05000737,Waterhead,E08000004,Oldham
2015-02-01,335,4.2,E05000738,Werneth,E08000004,Oldham
2015-02-01,255,3.9,E05000739,Balderstone and Kirkholt,E08000005,Rochdale
2015-02-01,85,1.5,E05000740,Bamford,E08000005,Rochdale
2015-02-01,140,2.3,E05000741,Castleton,E08000005,Rochdale
2015-02-01,425,6,E05000742,Central Rochdale,E08000005,Rochdale
2015-02-01,130,2,E05000743,East Middleton,E08000005,Rochdale
2015-02-01,120,1.8,E05000744,Healey,E08000005,Rochdale
2015-02-01,230,3.1,E05000745,Hopwood Hall,E08000005,Rochdale
2015-02-01,265,3.4,E05000746,Kingsway,E08000005,Rochdale
2015-02-01,75,1.4,E05000747,Littleborough Lakeside,E08000005,Rochdale
2015-02-01,335,4.5,E05000748,Milkstone and Deeplish,E08000005,Rochdale
