date,count,rate,lad15cd,lad15nm,cauth15cd,cauth15nm
2017-05-01,2940,2.5,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2017-05-01,10260,2.7,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2017-05-01,4095,2.9,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2017-05-01,4270,3.2,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2017-05-01,4710,2.9,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2017-05-01,3420,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2017-05-01,3975,2.8,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2017-05-01,2370,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2017-05-01,5470,2.7,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2017-06-01,5760,3.3,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2017-06-01,2925,2.5,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2017-06-01,10140,2.7,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2017-06-01,4135,2.9,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2017-06-01,4265,3.2,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2017-06-01,4630,2.8,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2017-06-01,3350,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2017-06-01,3895,2.8,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2017-06-01,2315,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2017-06-01,5360,2.7,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2017-07-01,5690,3.2,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2017-07-01,2900,2.5,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2017-07-01,9920,2.6,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2017-07-01,4165,2.9,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2017-07-01,4130,3.1,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2017-07-01,4610,2.8,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2017-07-01,3375,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2017-07-01,3785,2.7,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2017-07-01,2295,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2017-07-01,5310,2.6,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2017-08-01,5775,3.3,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2017-08-01,2905,2.5,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2017-08-01,9870,2.6,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2017-08-01,4600,3.2,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2017-08-01,4080,3,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2017-08-01,4565,2.8,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2017-08-01,3445,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2017-08-01,3765,2.7,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2017-08-01,2335,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2017-08-01,5430,2.7,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2017-09-01,5685,3.2,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2017-09-01,2850,2.4,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2017-09-01,9790,2.6,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
