lsoa11cd,lsoa11nm,lad16nm,total_pop,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E01004865,Bolton 011D,Bolton,1509,25,28,20,20,21,23,20,18,28,18,17,10,14,14,23,18,13,16,13,8,12,17,18,18,21,23,21,22,25,18,25,29,28,36,34,21,21,18,18,12,22,7,15,21,20,22,27,15,19,23,22,24,11,21,24,30,17,18,15,13,11,14,15,16,16,16,17,16,15,21,8,14,11,8,12,12,7,8,8,7,7,7,5,7,2,8,5,8,8,3,7
E01004866,Bolton 011E,Bolton,1776,29,35,32,33,39,38,29,34,24,37,30,29,26,22,25,22,17,21,24,23,25,21,21,20,29,17,17,19,33,26,17,24,27,29,26,22,22,22,21,22,14,24,16,12,17,20,21,24,23,28,33,17,25,19,27,23,22,13,20,16,18,10,18,11,8,14,17,20,12,24,14,11,8,20,11,9,9,19,8,8,10,6,6,7,6,5,3,4,1,6,10
E01004840,Bolton 012A,Bolton,1737,11,17,16,16,25,19,22,21,24,19,17,22,29,13,30,25,26,30,27,17,16,10,19,18,10,16,24,8,16,19,22,15,19,21,12,12,20,14,13,15,23,21,25,24,28,25,30,23,26,22,24,39,25,28,25,24,27,21,31,24,23,22,28,19,22,24,21,21,31,28,19,24,14,13,14,13,11,5,21,14,10,10,6,7,9,11,7,5,5,7,13
E01004841,Bolton 012B,Bolton,1756,27,36,38,33,48,28,28,31,33,35,32,31,42,24,29,20,27,25,30,26,26,25,30,27,30,22,28,23,23,34,33,21,31,18,27,18,12,23,24,18,19,22,21,21,25,23,26,28,23,27,28,25,30,18,11,11,9,21,13,16,14,7,13,8,11,12,8,12,10,8,6,12,12,13,6,8,3,5,8,2,4,5,5,6,4,3,3,5,2,3,5
E01004842,Bolton 012C,Bolton,1685,17,18,19,10,22,19,27,26,28,17,19,23,21,14,23,15,19,30,23,11,11,15,10,13,12,18,17,14,16,17,16,19,9,19,13,14,15,22,19,14,12,17,17,18,26,22,22,21,31,22,24,26,21,20,24,25,17,22,21,26,18,20,15,21,18,20,34,28,24,24,17,12,17,22,21,11,19,16,16,17,13,12,13,10,13,13,19,16,11,11,26
E01004919,Bolton 012D,Bolton,1473,18,15,11,21,19,12,19,10,13,16,31,19,26,15,17,14,15,8,14,8,12,15,14,10,14,12,22,15,24,18,10,19,19,10,21,15,12,22,19,13,21,20,15,12,26,23,15,22,21,26,23,23,17,21,18,25,29,23,20,22,14,24,22,14,15,11,19,15,20,28,17,14,20,8,14,13,17,14,11,12,11,6,7,8,10,13,7,4,5,6,15
E01004920,Bolton 012E,Bolton,1623,22,21,17,22,23,23,33,14,20,25,32,25,22,16,23,12,22,19,23,11,15,13,16,12,18,14,18,14,24,21,22,19,21,16,16,27,19,21,13,17,16,19,33,20,18,20,21,18,14,21,19,24,21,29,21,25,21,25,27,16,15,24,16,19,21,16,13,14,19,13,11,16,16,12,16,11,16,24,12,7,10,9,8,6,6,6,11,3,2,5,37
E01004787,Bolton 013A,Bolton,1682,29,24,22,38,36,38,34,34,14,24,22,28,29,18,14,22,22,22,24,22,25,21,22,25,23,29,23,18,24,28,20,28,27,20,17,15,30,23,18,21,26,23,22,28,20,25,29,20,26,25,27,33,19,30,14,20,15,16,25,17,7,16,14,6,19,13,15,12,10,17,11,12,4,10,8,4,6,8,3,6,7,3,4,6,2,6,3,3,2,2,10
E01004793,Bolton 013B,Bolton,1768,23,34,23,29,26,27,28,36,28,26,28,28,28,23,27,21,23,25,23,18,23,14,21,25,18,23,24,14,27,27,24,32,27,30,27,27,22,27,20,23,20,13,16,17,21,20,16,29,27,26,18,17,17,25,24,19,23,16,19,21,13,16,15,11,14,14,16,15,14,14,17,15,6,11,12,18,6,7,9,7,7,4,8,9,8,14,9,7,4,10,35
E01004794,Bolton 013C,Bolton,1911,20,31,33,28,46,48,46,43,42,39,44,34,38,19,31,33,21,27,24,18,32,21,16,24,21,35,25,34,33,33,27,23,29,30,17,29,35,34,20,18,23,18,21,21,22,19,22,22,19,18,20,29,29,20,18,20,21,18,19,18,12,17,10,15,12,21,14,17,14,19,9,12,11,12,10,8,6,8,7,6,7,12,8,3,3,4,4,3,3,3,3
