area_code,area_name,geography,period,indicator,national_identity,measure,unit,value
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,72
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,Non-UK identity only,Count,Persons,206
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,75
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,British only identity,Count,Persons,1243
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,English only identity,Count,Persons,263
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,English and British only identity,Count,Persons,224
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,Welsh only identity,Count,Persons,6
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,Welsh and British only identity,Count,Persons,4
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,Scottish only identity,Count,Persons,10
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,Scottish and British only identity,Count,Persons,5
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish only identity,Count,Persons,9
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,1
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,3
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,Irish only identity,Count,Persons,38
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,4
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,Other identity only,Count,Persons,293
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,58
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,National identity,Non-UK identity only,Count,Persons,331
