period,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2018-06-30,E02001280,Trafford 022,MSOA,Male,4018,952,2363,703,48,41,62,50,71,45,57,68,57,64,75,75,54,66,70,49,67,62,58,49,26,45,33,40,48,41,46,41,42,49,35,28,41,33,32,47,47,30,45,48,55,38,49,61,65,56,64,56,62,59,52,64,54,60,59,52,64,39,43,51,50,36,44,44,53,33,42,30,42,39,49,43,46,43,39,29,32,26,19,22,25,19,21,12,17,11,9,7,12,2,34
2018-06-30,E02001281,Trafford 023,MSOA,Female,3924,717,2223,984,32,33,31,30,45,48,43,50,51,49,49,52,50,46,48,60,49,50,48,33,15,14,28,28,25,24,21,23,19,22,28,31,39,28,41,43,48,59,42,50,57,53,59,47,60,58,81,61,69,64,53,50,73,69,53,73,48,56,53,52,37,37,48,66,38,44,39,40,59,50,36,51,44,55,41,59,36,42,36,42,27,31,26,28,22,20,27,17,31,17,64
2018-06-30,E02001281,Trafford 023,MSOA,Male,3705,792,2106,807,31,35,40,45,43,47,60,56,51,57,59,47,62,46,54,59,38,53,50,33,29,33,28,40,32,23,26,25,20,20,37,25,23,29,37,40,36,51,52,41,50,49,58,55,53,66,63,60,55,68,54,50,46,55,44,59,60,45,40,43,52,47,39,41,33,37,46,39,47,48,55,53,33,44,45,28,30,21,27,33,37,22,19,27,19,15,17,10,13,13,29
2018-06-30,E02001282,Trafford 024,MSOA,Female,5072,1171,3172,729,69,77,77,84,83,87,79,71,75,84,64,66,76,70,50,59,42,39,44,22,29,26,34,50,44,62,59,70,73,76,67,88,104,87,101,96,92,112,84,93,96,91,88,94,87,78,74,62,62,67,76,62,65,48,60,61,46,56,44,48,56,38,34,47,38,35,30,42,39,41,37,45,34,28,39,35,25,29,21,21,32,16,16,29,23,15,10,13,20,20,34
2018-06-30,E02001282,Trafford 024,MSOA,Male,5050,1189,3239,622,76,66,76,88,67,74,87,89,71,86,92,69,66,63,53,66,55,40,54,47,32,36,53,45,50,55,78,61,61,83,85,71,83,95,114,79,83,106,97,99,87,82,72,94,86,80,83,84,72,66,62,52,61,66,66,67,34,46,50,44,42,48,36,45,52,37,42,48,37,36,39,43,26,26,28,22,23,28,25,16,23,19,15,15,6,11,10,7,6,7,27
2018-06-30,E02001283,Trafford 025,MSOA,Female,4895,922,2888,1085,41,51,66,55,55,51,57,67,62,60,54,61,59,67,62,54,63,57,48,25,22,31,36,41,38,49,49,45,60,50,64,58,53,67,75,58,61,74,55,64,77,63,68,63,72,63,73,99,49,72,69,68,61,71,81,81,78,61,57,63,67,51,46,42,50,42,40,49,42,48,47,56,49,65,45,41,38,36,39,47,44,40,40,29,32,20,29,31,21,22,93
2018-06-30,E02001283,Trafford 025,MSOA,Male,4774,960,2950,864,51,50,62,58,57,61,68,76,53,64,58,65,55,66,53,63,47,74,53,30,31,41,41,45,59,51,49,44,52,68,72,56,59,58,77,66,59,68,74,56,61,62,64,78,74,66,78,72,62,75,79,60,64,68,83,65,75,54,72,57,51,63,58,41,38,44,43,53,33,57,56,39,49,34,61,34,31,29,36,35,22,22,21,24,17,26,18,18,10,14,38
2018-06-30,E02001284,Trafford 026,MSOA,Female,4223,1018,2558,647,48,35,53,59,56,63,58,63,80,61,85,69,74,58,73,83,74,51,46,24,19,17,23,27,23,30,21,36,31,37,39,25,38,53,45,41,75,67,61,65,71,61,67,68,65,63,86,78,73,79,73,70,79,79,74,58,55,66,55,57,56,49,29,46,33,32,31,29,35,34,38,33,28,37,29,23,24,14,16,23,22,24,20,16,20,19,13,13,10,6,58
2018-06-30,E02001284,Trafford 026,MSOA,Male,4193,1073,2558,562,49,52,66,63,62,63,81,52,72,58,76,80,64,91,79,65,41,61,49,33,30,21,28,32,27,34,40,41,41,30,36,35,38,37,49,49,58,67,64,60,77,58,51,68,56,83,67,75,65,69,77,72,66,71,66,73,66,46,58,56,51,36,50,52,48,37,21,35,34,26,46,42,33,21,31,26,23,14,23,18,22,18,17,8,8,10,10,8,5,8,18
2018-06-30,E02001285,Trafford 027,MSOA,Female,4121,808,2279,1034,19,34,38,42,42,43,48,61,48,63,63,63,58,69,54,63,44,41,48,29,16,18,28,29,18,24,39,39,24,32,34,28,37,32,38,39,46,58,51,68,48,44,48,47,54,59,65,70,73,56,74,69,85,61,64,53,59,56,45,46,57,61,38,44,43,43,45,43,40,67,42,43,37,46,46,39,38,29,41,39,36,24,34,34,23,25,23,28,19,23,127
2018-06-30,E02001285,Trafford 027,MSOA,Male,3957,801,2321,835,35,37,40,36,40,41,58,56,49,53,61,48,65,52,63,67,53,50,55,28,31,18,18,32,38,28,39,35,40,43,19,29,25,39,29,38,39,54,55,57,50,50,48,57,58,47,54,52,58,65,67,52,60,68,57,63,58,60,48,54,68,59,58,56,62,45,43,35,47,46,57,56,34,38,43,35,40,30,23,39,23,18,27,15,22,15,20,12,20,9,43
2018-06-30,E02001286,Trafford 028,MSOA,Female,4286,880,2326,1080,29,42,55,38,50,60,63,63,63,61,46,59,65,51,74,61,69,54,42,24,29,20,26,21,25,21,37,26,29,27,30,32,36,44,35,44,68,54,45,64,50,48,57,46,61,64,76,72,80,74,50,64,55,71,56,60,40,52,53,49,53,42,54,43,54,43,43,52,55,49,54,64,38,49,52,63,40,30,43,42,34,37,36,28,24,25,31,36,21,22,69
2018-06-30,E02001286,Trafford 028,MSOA,Male,3960,874,2182,904,28,26,46,50,48,59,55,55,55,85,70,60,69,61,46,61,73,60,46,40,24,33,27,40,43,28,29,37,21,29,32,26,27,26,29,38,29,42,31,49,50,47,53,47,63,45,54,38,58,78,62,53,52,52,68,60,60,48,53,45,53,47,38,51,48,43,42,40,40,47,56,50,36,31,34,45,36,29,29,38,29,35,28,26,19,35,20,25,27,13,51
